                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0373,                0.49236,                 1.1288,                0.97993,                0.96174,                0.98525,                0.70659,                 1.1019,                0.39055,                 1.1406,               0.006535,               0.006535,               0.006535
                     37,                 1.0331,                0.48807,                 1.1267,                0.97859,                0.96495,                0.98565,                0.70683,                 1.0985,                0.38682,                 1.1383,               0.006436,               0.006436,               0.006436
                     38,                 1.0311,                0.48501,                 1.1248,                0.97644,                0.96529,                0.98315,                0.70672,                  1.095,                0.38137,                  1.136,               0.006337,               0.006337,               0.006337
                     39,                 1.0279,                0.48278,                 1.1243,                0.98221,                0.95812,                0.98301,                0.70819,                 1.0916,                0.37778,                 1.1347,               0.006238,               0.006238,               0.006238
                     40,                 1.0309,                0.48345,                 1.1255,                0.97947,                0.96207,                0.98419,                0.71024,                 1.0894,                0.37736,                 1.1327,               0.006139,               0.006139,               0.006139
                     41,                 1.0229,                0.48319,                 1.1177,                0.97338,                0.96764,                 0.9847,                0.71049,                 1.0891,                 0.3772,                 1.1319,                0.00604,                0.00604,                0.00604
                     42,                 1.0198,                 0.4788,                 1.1185,                0.97449,                0.96736,                0.98422,                0.71025,                 1.0905,                0.37621,                 1.1319,               0.005941,               0.005941,               0.005941
                     43,                 1.0154,                0.47596,                 1.1201,                0.97582,                0.96539,                0.98574,                0.70974,                  1.091,                0.37606,                 1.1319,               0.005842,               0.005842,               0.005842
                     44,                 1.0149,                0.47461,                 1.1101,                0.97453,                0.96913,                0.98659,                0.71074,                 1.0908,                 0.3749,                 1.1319,               0.005743,               0.005743,               0.005743
                     45,                 1.0121,                0.47446,                 1.1077,                0.97681,                0.96794,                0.98588,                0.70981,                 1.0904,                 0.3738,                 1.1309,               0.005644,               0.005644,               0.005644
                     46,                 1.0088,                0.46886,                 1.1128,                0.97768,                0.96574,                0.98522,                0.70997,                 1.0895,                0.37374,                 1.1299,               0.005545,               0.005545,               0.005545
                     47,                 1.0028,                0.46458,                 1.1061,                0.98092,                0.96472,                 0.9861,                0.71101,                 1.0893,                0.37295,                 1.1296,               0.005446,               0.005446,               0.005446
                     48,                 1.0047,                0.46498,                 1.1119,                0.98044,                 0.9638,                0.98593,                0.71188,                 1.0882,                 0.3712,                 1.1291,               0.005347,               0.005347,               0.005347
                     49,                 1.0002,                0.46184,                 1.1072,                0.98049,                0.96628,                0.98746,                0.71285,                 1.0874,                0.37031,                 1.1289,               0.005248,               0.005248,               0.005248
                     50,                 1.0002,                0.46077,                 1.1067,                0.97918,                0.96857,                0.98773,                0.71381,                 1.0869,                0.37001,                 1.1286,               0.005149,               0.005149,               0.005149
